Games,Basement,Level One,The Loft,Bilingual,Back-up?,Pieces,Category,Hidden,Notes,URL
Chronicle,-,Overflow,Overflow,,,,Light Strategy,,,https://boardgamegeek.com/boardgame/54307/chronicle
Chronology,-,-,Loft SG - 81,,,,Trivia,,,https://boardgamegeek.com/boardgame/834/chronology
Chutes and Ladders,-,4E,K4,(En/Fr),,,Family,,,https://boardgamegeek.com/boardgame/5432/chutes-and-ladders
Cirkus,BC,-,-,(En/Fr),,,Family,,,https://boardgamegeek.com/boardgame/53804/cirkis
Citadels,-,missing,Loft SG - 87,,,Y,Party,,,https://boardgamegeek.com/boardgame/205398/citadels
Cities Skylines - The Board Game,-,Overflow,Overflow,,,,Strategy,,,https://boardgamegeek.com/boardgame/267370/cities-skylines-the-board-game
City of Horror,-,Overflow,Overflow,(En/Fr),,,Strategy,,,https://boardgamegeek.com/boardgame/120217/city-horror
Clank!,-,-,T4,,,,Strategy,,,https://boardgamegeek.com/boardgame/201808/clank-deck-building-adventure
Clank!: Catacombs,-,-,T4,,,,Strategy,,,https://boardgamegeek.com/boardgame/365717/clank-catacombs
Clash of Cultures,-,-,Top Shelf,,,,Strategy,,,https://boardgamegeek.com/boardgame/40765/clash-cultures
Claustophobia,-,Top Shelf,-,,,,Two Player,,,https://boardgamegeek.com/boardgame/36932/claustrophobia
Clearing Coffins,-,Overflow,Overflow,(En/Fr),,,Family,,,https://boardgamegeek.com/boardgame/171475/sarge-schubsen
Cleopatra and the Society of Architects,-,-,Fireplace,,,,Strategy,,,https://boardgamegeek.com/boardgame/22141/cleopatra-and-the-society-of-architects
Click Clack Lumberjack,-,4F,P5,,Y,Y,Dexterity,,,https://boardgamegeek.com/boardgame/39206/click-clack-lumberjack
"Climbers, The",-,-,N4,,,,Light Strategy,,,https://boardgamegeek.com/boardgame/34297/the-climbers
Clue,BC,4F,K4,(En/Fr),Y,Y,Family,,,https://boardgamegeek.com/boardgame/1294/clue
Clue Conspiracy,DE,-,-,,,,Light Strategy,,,https://boardgamegeek.com/boardgame/391824/clue-conspiracy
Clue: Dungeons & Dragons,-,-,K4,,,,Family,,,https://boardgamegeek.com/boardgame/294320/clue-dungeons-dragons
Clue: Harry Potter,-,4F,-,,,Y,Family,,,https://boardgamegeek.com/boardgame/38026/clue-harry-potter-edition
Clue: Legend of Zelda Collector's Edition,-,4F replacement ordered,-,,,Y,Family,,,https://boardgamegeek.com/boardgame/238041/clue-the-legend-of-zelda
Clue: The Card Game,-,Overflow,Overflow,,,,Family,,,https://boardgamegeek.com/boardgame/3269/clue-card-game
Coaster Park,-,Overflow,Overflow,,,,Light Strategy,,,https://boardgamegeek.com/boardgame/232895/coaster-park
Coatl,DF,-,-,(En/Fr),,,Light Strategy,,,https://boardgamegeek.com/boardgame/274841/coatl
Cobra Paw,HE,9E,-,,,Y,Party,,,https://boardgamegeek.com/boardgame/220700/cobra-paw
Cockroach Poker,-,Lvl1 SG - 53,Loft SG - 87,(En/Fr),,Y,Light Strategy,,,https://boardgamegeek.com/boardgame/11971/cockroach-poker
Cockroach Poker Royal,Overflow,Overflow,Overflow,(En/Fr),,,Light Strategy,,,https://boardgamegeek.com/boardgame/129736/kakerlakenpoker-royal
Code Stack!,-,-,Loft SG - 81,,,,Party,,,https://boardgamegeek.com/boardgame/11836/code-stack
Codenames,HE,9D,B1,,Y,Y,Party,,,https://boardgamegeek.com/boardgame/178900/codenames
Codenames XXL,-,9E,B1,,Y,Y,Party,,,https://boardgamegeek.com/boardgame/178900/codenames
Codenames: Deep Undercover,LA,13F,X5,,Y,,Adult,,,https://boardgamegeek.com/boardgame/205158/codenames-deep-undercover
Codenames: Disney,,9D,-,,,,Party,,,https://boardgamegeek.com/boardgame/220775/codenames-disney-family-edition
Codenames: Duet,AA,2C,i2,,Y,Y,Two Player,,,https://boardgamegeek.com/boardgame/224037/codenames-duet
Codenames: Harry Potter,,9D,B1,,,,Party,,,https://boardgamegeek.com/boardgame/249821/codenames-harry-potter
Codenames: Marvel,,9D,-,,,,Party,,,https://boardgamegeek.com/boardgame/220774/codenames-marvel
Codenames: Pictures,,9D,B1,,,Y,Party,,,https://boardgamegeek.com/boardgame/198773/codenames-pictures
Codenames: The Simpsons,,9D,-,,,,Party,,,https://boardgamegeek.com/boardgame/290028/codenames-simpsons
Color Addict,-,Lvl1 SG - 55,-,,,,Party,,,https://boardgamegeek.com/boardgame/124954/color-addict
Color Monster,,Overflow,Overflow,(En/Fr),,,Family,,,https://boardgamegeek.com/boardgame/256980/the-color-monster
